id,name,state,postcode,lat,lng,area,region
75,Akaroa,TAS,7216,-41.304515,148.316711,East Coast,Tasmania
76,Akolele,NSW,2546,-36.355798,150.07685,Eurobodalla Coast,South Coast NSW
77,Alabama Hill,QLD,4820,-20.082915,146.249367,Mount Isa & North West,Central & West QLD
78,Alawa,NT,810,-12.378451,130.877014,Darwin Area,Northern Territory
79,Alawoona,SA,5311,-34.735891,140.508785,South East,Southern SA
80,Albacutya,VIC,3424,-35.691919,141.974602,North Western,Northern VIC
81,Albanvale,VIC,3021,-37.745934,144.770027,West,Melbourne
82,Albany Creek,QLD,4035,-27.345529,152.968403,City & North,Brisbane
83,Albany,WA,6330,-35.023873,117.883543,South,Southern WA
84,Albert Park,SA,5014,-34.878311,138.521348,Western & Beachside Suburbs,Adelaide
85,Albert Park,VIC,3206,-37.840705,144.95571,Inner City,Melbourne
86,Albert,NSW,2873,-32.41586,147.508111,Central West,Regional NSW
87,Alberta,QLD,4702,-24.325475,149.782526,Central,Central & West QLD
88,Alberton West,VIC,3971,-38.598686,146.587948,Gippsland,South East VIC
89,Alberton,QLD,4207,-27.705879,153.265924,Logan,Brisbane
90,Alberton,SA,5014,-34.85922,138.51953,Western & Beachside Suburbs,Adelaide
91,Alberton,TAS,7263,-41.293087,147.789324,North East Tasmania,Tasmania
92,Alberton,VIC,3971,-38.611394,146.66598,Gippsland,South East VIC
93,Albion Heights,TAS,7050,-42.956129,147.322644,Hobart & Southern,Tasmania
94,Albion Park Rail,NSW,2527,-34.560838,150.79575,Wollongong & Illawarra,South Coast NSW
95,Albion Park,NSW,2527,-34.570722,150.775031,Wollongong & Illawarra,South Coast NSW
96,Albion,QLD,4010,-27.428026,153.045205,Mount Isa & North West,Central & West QLD
97,Albion,QLD,4822,-21.50903,142.69317,Mount Isa & North West,Central & West QLD
98,Albion,VIC,3020,-37.775954,144.819395,West,Melbourne
99,Albury,NSW,2640,-36.082137,146.910174,Murray Region,Regional NSW
100,Alcomie,TAS,7330,-40.934871,145.185229,West Coast,Tasmania
