id,name,state,postcode,lat,lng,area,region
1496,Booerie Creek,NSW,2480,-28.776035,153.259952,Northern Rivers,"Hunter, Central & Northern NSW"
1497,Boogan,QLD,4871,-17.605083,146.012371,Far North Queensland,Coastal QLD
1498,Booie,QLD,4610,-26.498426,151.935421,South,Central & West QLD
1499,Book Book,NSW,2650,-35.356567,147.557002,Riverina,Regional NSW
1500,Bookaar,VIC,3260,-38.134947,143.102803,Great Ocean Rd / Otway Ranges,South West VIC
1501,Bookabie,SA,5690,-31.839911,132.6767,West Coast,West Coast SA
1502,Bookara,WA,6525,-29.041108,114.865221,North,Northern WA
1503,Booker Bay,NSW,2257,-33.511566,151.34478,Central Coast & Region,"Hunter, Central & Northern NSW"
1504,Bookham,NSW,2582,-34.789416,148.637784,Riverina,Regional NSW
1505,Bookpurnong,SA,5333,-34.376972,140.605975,Riverland,Mid North SA
1506,Bookram,NSW,2460,-29.71226,153.229513,Northern Rivers,"Hunter, Central & Northern NSW"
1507,Bool Lagoon,SA,5271,-37.143673,140.71502,South East,Southern SA
1508,Boola,VIC,3825,-38.052535,146.465334,Gippsland,South East VIC
1509,Boolambayte,NSW,2423,-32.406627,152.271206,Mid North Coast,"Hunter, Central & Northern NSW"
1510,Boolarong,VIC,3960,-38.566919,146.255704,Gippsland,South East VIC
1511,Boolaroo,NSW,2284,-32.955269,151.622332,Lake Macquarie East,"Hunter, Central & Northern NSW"
1512,Boolarra South,VIC,3870,-38.445642,146.263091,Gippsland,South East VIC
1513,Boolarra,VIC,3870,-38.378924,146.275377,Gippsland,South East VIC
1514,Boolboonda,QLD,4671,-25.079428,151.67995,Bundaberg & Wide Bay,Coastal QLD
1515,Boolburra,QLD,4702,-23.737942,149.783973,Central,Central & West QLD
1516,Boolcarroll,NSW,2388,-30.087425,149.438586,New England - North West,Regional NSW
1517,Boole Poole,VIC,3880,-37.900743,147.87984,Lakes & Wilderness,South East VIC
1518,Booleroo Centre,SA,5482,-32.880512,138.351993,Far North,Far North SA
1519,Boolgun,SA,5330,-34.417938,140.035181,Riverland,Mid North SA
1520,Booligal,NSW,2711,-33.679442,144.749504,Murray Region,Regional NSW
1521,Boolijah,NSW,2540,-35.107236,150.3538,Shoalhaven,South Coast NSW
1522,Boolite,VIC,3392,-36.34364,142.65012,North Western,Northern VIC
1523,Boomahnoomoonah,VIC,3728,-36.099254,146.084897,North Eastern,Northern VIC
1524,Boomanoomana,NSW,2712,-35.883985,145.828692,Murray Region,Regional NSW
1525,Boomer Bay,TAS,7177,-42.867523,147.828542,Hobart & Southern,Tasmania
1526,Boomerang Beach,NSW,2428,-32.339201,152.541677,Mid North Coast,"Hunter, Central & Northern NSW"
1527,Boomey,NSW,2866,-33.000881,148.982331,Dubbo & Orana,Regional NSW
1528,Boomi Creek,NSW,2476,-28.470421,152.603955,Northern Rivers,"Hunter, Central & Northern NSW"
1529,Boomi,NSW,2405,-28.725412,149.57915,New England - North West,Regional NSW
1530,Boompa,QLD,4621,-25.589377,152.183411,South,Central & West QLD
1531,Boona Mount,NSW,2877,-32.631159,147.264306,Dubbo & Orana,Regional NSW
1532,Boonah,QLD,4310,-27.997228,152.681481,Ipswich & West Moreton,South East QLD
1533,Boonah,VIC,3235,-38.419956,143.948435,Great Ocean Rd / Otway Ranges,South West VIC
1534,Boonal,NSW,2409,-28.785002,150.523603,New England - North West,Regional NSW
1535,Boonanarring,WA,6503,-31.261546,115.849344,North,Northern WA
1536,Boonara,QLD,4601,-26.091506,152.056888,South,Central & West QLD
1537,Boonarga,QLD,4413,-26.797524,150.718956,South,Central & West QLD
1538,Boondall,QLD,4034,-27.348677,153.060157,City & North,Brisbane
1539,Boondandilla,QLD,4406,-27.917927,150.676565,South,Central & West QLD
1540,Boondooma,QLD,4613,-26.29473,151.261259,South,Central & West QLD
1541,Boonenne,QLD,4610,-26.627626,151.788893,South,Central & West QLD
1542,Boonerdo,SA,5633,-33.562483,135.976076,Eyre Peninsula,West Coast SA
1543,Boonoo Boonoo,NSW,2372,-28.874075,152.102287,New England - North West,Regional NSW
1544,Boonooroo Plains,QLD,4650,-25.561375,152.745123,Bundaberg & Wide Bay,Coastal QLD
1545,Boonooroo,QLD,4650,-25.667591,152.895145,Bundaberg & Wide Bay,Coastal QLD
1546,Boorabbin,WA,6429,-30.95306,120.15778,East,Eastern WA
1547,Boorabee Park,NSW,2480,-28.708355,153.061375,Northern Rivers,"Hunter, Central & Northern NSW"
1548,Booragoon,WA,6154,-32.035854,115.832262,Southern Suburbs,Perth
1549,Booragul,NSW,2284,-32.976125,151.60589,Lake Macquarie West,"Hunter, Central & Northern NSW"
1550,Booral,NSW,2425,-32.479751,152.001752,Mid North Coast,"Hunter, Central & Northern NSW"
1551,Booral,QLD,4655,-25.352719,152.890792,Bundaberg & Wide Bay,Coastal QLD
1552,Booralaming,WA,6475,-30.90556,117.38,North,Northern WA
1553,Boorara Brook,WA,6262,-34.686036,116.213448,South,Southern WA
1554,Boorara,WA,6431,-30.80194,121.63667,East,Eastern WA
1555,Boorcan,VIC,3265,-38.21456,143.013298,Great Ocean Rd / Otway Ranges,South West VIC
1556,Boorga,NSW,2652,-34.039439,146.030172,Riverina,Regional NSW
1557,Boorganna,NSW,2429,-31.633531,152.395651,Mid North Coast,"Hunter, Central & Northern NSW"
1558,Boorhaman East,VIC,3678,-36.176096,146.314773,North Eastern,Northern VIC
1559,Boorhaman North,VIC,3685,-36.098847,146.222359,North Eastern,Northern VIC
1560,Boorhaman,VIC,3678,-36.230384,146.304461,North Eastern,Northern VIC
1561,Boorolite,VIC,3723,-37.159587,146.204583,Shepparton & Central North,Northern VIC
1562,Boorolong,NSW,2350,-30.329789,151.53254,New England - North West,Regional NSW
1563,Booroobin,QLD,4552,-26.827538,152.813187,South,Central & West QLD
1564,Boorook,NSW,2372,-28.85927,152.245747,New England - North West,Regional NSW
1565,Boorool,VIC,3953,-38.443382,146.077181,Gippsland,South East VIC
1566,Boorooma,NSW,2650,-35.074014,147.365426,Riverina,Regional NSW
1567,Booroorban,NSW,2710,-34.93111,144.763052,Murray Region,Regional NSW
1568,Boorowa,NSW,2586,-34.438598,148.716326,Riverina,Regional NSW
1569,Boors Plain,SA,5554,-34.025225,137.666528,Yorke Peninsula,West Coast SA
1570,Boort,VIC,3537,-36.116842,143.725589,North Western,Northern VIC
1571,Boosey,VIC,3730,-36.05528,145.795859,North Eastern,Northern VIC
1572,Bootawa,NSW,2430,-31.914391,152.373581,Mid North Coast,"Hunter, Central & Northern NSW"
1573,Bootenal,WA,6532,-28.856282,114.729902,North,Northern WA
1574,Boothenba,NSW,2830,-32.195636,148.689577,Dubbo & Orana,Regional NSW
1575,Boothendarra,WA,6521,-30.20917,115.61389,North,Northern WA
1576,Booti Booti,NSW,2428,-32.3106,152.516456,Mid North Coast,"Hunter, Central & Northern NSW"
1577,Booubyjan,QLD,4601,-25.937606,151.970203,South,Central & West QLD
1578,Booval Fair,QLD,4304,-27.615744,152.789849,Toowoomba & District,South East QLD
1579,Booval,QLD,4304,-27.614359,152.788861,Ipswich & West Moreton,South East QLD
1580,Booyal,QLD,4671,-25.214787,152.036765,Bundaberg & Wide Bay,Coastal QLD
1581,Booyong,NSW,2480,-28.747106,153.45142,Northern Rivers,"Hunter, Central & Northern NSW"
1582,Bora Ridge,NSW,2471,-29.045091,153.226754,Northern Rivers,"Hunter, Central & Northern NSW"
1583,Borah Creek,NSW,2346,-30.609264,150.50534,New England - North West,Regional NSW
1584,Borallon,QLD,4306,-27.497507,152.702996,Ipswich & West Moreton,South East QLD
1585,Boralma,VIC,3682,-36.243951,146.411677,North Eastern,Northern VIC
1586,Borambil,NSW,2343,-31.50643,150.642146,Hunter Valley - Upper,"Hunter, Central & Northern NSW"
1587,Borambola,NSW,2650,-35.171605,147.692709,Riverina,Regional NSW
1588,Boranup,WA,6286,-34.142608,115.082759,Margaret River & Surrounds,Southern WA
1589,Borden,WA,6338,-34.073728,118.260456,South,Southern WA
1590,Border Ranges,NSW,2474,-28.386261,153.082555,Northern Rivers,"Hunter, Central & Northern NSW"
1591,Borderdale,WA,6320,-34.05222,117.39833,South,Southern WA
1592,Bordertown South,SA,5268,-36.427981,140.72587,South East,Southern SA
1593,Bordertown,SA,5268,-36.31136,140.773515,South East,Southern SA
1594,Boree Creek,NSW,2652,-35.106183,146.61426,Riverina,Regional NSW
1595,Boree,NSW,2864,-33.232729,148.841207,Central West,Regional NSW
1596,Boreen Point,QLD,4565,-26.28624,152.993922,Sunshine Coast,South East QLD
1597,Borenore,NSW,2800,-33.247292,148.974505,Central West,Regional NSW
1598,Bornes Hill,VIC,3379,-37.534037,142.521439,Grampians,South West VIC
1599,Bornholm,WA,6330,-35.053774,117.572162,South,Southern WA
1600,Boro,NSW,2622,-35.142889,149.661589,Capital Monaro & Snowy,Regional NSW
1601,Boronia Heights,QLD,4124,-27.690598,153.022217,Logan,Brisbane
1602,Boronia Park,NSW,2111,-33.8260619,151.1406838,Northern Suburbs,Sydney
1603,Boronia,VIC,3155,-37.862721,145.287034,East,Melbourne
1604,Bororen,QLD,4678,-24.243194,151.495847,Bundaberg & Wide Bay,Coastal QLD
1605,Borrika,SA,5309,-35.023488,140.046185,South East,Southern SA
1606,Borroloola,NT,854,-16.85568,137.22711,Darwin Area,Northern Territory
1607,Borung,VIC,3518,-36.291375,143.751749,Greater Bendigo Region,Northern VIC
1608,Boscabel,WA,6394,-33.698758,117.113768,South,Southern WA
1609,Bossley Park,NSW,2176,-33.86626,150.88415,Western Sydney,Sydney
1610,Bostobrick,NSW,2453,-30.277198,152.627919,Mid North Coast,"Hunter, Central & Northern NSW"
1611,Bostocks Creek,VIC,3260,-38.296169,143.115205,Great Ocean Rd / Otway Ranges,South West VIC
1612,Boston,SA,5607,-34.655349,135.856036,Eyre Peninsula,West Coast SA
1613,Botany,NSW,2019,-33.94477,151.196528,Eastern Suburbs,Sydney
1614,Bothwell,TAS,7030,-42.381922,147.005607,Hobart & Southern,Tasmania
1615,Botobolar,NSW,2850,-32.512931,149.797549,Dubbo & Orana,Regional NSW
1616,Bottle Creek,NSW,2469,-28.788792,152.648086,Northern Rivers,"Hunter, Central & Northern NSW"
1617,Bouddi,NSW,2251,-33.511538,151.400793,Central Coast & Region,"Hunter, Central & Northern NSW"
1618,Boulder Creek,QLD,4714,-23.695791,150.337835,Central,Central & West QLD
1619,Boulder,WA,6432,-30.781898,121.488736,East,Eastern WA
1620,Bouldercombe,QLD,4702,-23.565446,150.47228,Central,Central & West QLD
1621,Boulia,QLD,4829,-22.90968,139.906842,Central,Central & West QLD
1622,Boundain,WA,6312,-32.946718,117.363191,East,Eastern WA
1623,Boundary Bend,VIC,3599,-34.716099,143.150741,North Western,Northern VIC
1624,Bourbah,NSW,2828,-31.285984,148.26613,Dubbo & Orana,Regional NSW
1625,Bourke,NSW,2840,-30.088847,145.937742,Dubbo & Orana,Regional NSW
1626,Bourkelands,NSW,2650,-35.150342,147.355213,Riverina,Regional NSW
1627,Bournda,NSW,2550,-36.836801,149.912998,Far South Coast,South Coast NSW
1628,Bournewood,NSW,2868,-32.752421,148.753515,Central West,Regional NSW
1629,Bouvard,WA,6211,-32.697424,115.625461,Mandurah & surrounds,Southern WA
1630,Bovell,WA,6280,-33.679575,115.357202,Busselton-Dunsborough & Surrounds,Southern WA
1631,Bow Bowing,NSW,2566,-34.015342,150.83682,MacArthur/Camden,Sydney
1632,Bow Bridge,WA,6333,-34.967779,116.953419,South,Southern WA
1633,Bowan Park,NSW,2864,-33.323962,148.80572,Central West,Regional NSW
1634,Bowden,SA,5007,-34.904277,138.578712,Western & Beachside Suburbs,Adelaide
1635,Bowelling,WA,6225,-33.421147,116.483355,South,Southern WA
1636,Bowen Hills,QLD,4006,-27.444163,153.038407,City & North,Brisbane
1637,Bowen Mountain,NSW,2753,-33.573871,150.627819,Hawkesbury,Sydney
1638,Bowen,QLD,4805,-20.012106,148.246269,Mount Isa & North West,Central & West QLD
1639,Bowenfels,NSW,2790,-33.471596,150.124112,Central West,Regional NSW
1640,Bowenvale,VIC,3465,-36.983442,143.699121,Ballarat & Western District,South West VIC
1641,Bowenville,QLD,4404,-27.305817,151.490518,South,Central & West QLD
1642,Bower,SA,5374,-34.122462,139.356886,Mid North,Mid North SA
1643,Bowes,WA,6535,-28.44806,114.59722,North,Northern WA
1644,Boweya North,VIC,3675,-36.22715,146.106066,North Eastern,Northern VIC
1645,Boweya,VIC,3675,-36.269789,146.131319,North Eastern,Northern VIC
1646,Bowgada,WA,6623,-29.330125,116.152284,North,Northern WA
1647,Bowhill,SA,5238,-34.956501,139.690051,Murraylands,Southern SA
1648,Bowillia,SA,5461,-33.956529,138.393914,Mid North,Mid North SA
1649,Bowling Alley Point,NSW,2340,-31.397895,151.145266,New England - North West,Regional NSW
1650,Bowman Farm,NSW,2422,-31.925318,151.920288,Mid North Coast,"Hunter, Central & Northern NSW"
1651,Bowman,NSW,2422,-31.933384,151.830381,Mid North Coast,"Hunter, Central & Northern NSW"
1652,Bowmans Creek,NSW,2330,-32.282912,151.113873,Hunter Valley - Upper,"Hunter, Central & Northern NSW"
1653,Bowmans Forest,VIC,3735,-36.466766,146.629895,North Eastern,Northern VIC
1654,Bowmans,SA,5550,-34.16005,138.259363,Mid North,Mid North SA
1655,Bowna,NSW,2644,-35.964984,147.130856,Murray Region,Regional NSW
1656,Bowning,NSW,2582,-34.7679,148.814699,Riverina,Regional NSW
1657,Bowral,NSW,2576,-34.4778,150.418086,Southern Highlands,South Coast NSW
1658,Bowraville,NSW,2449,-30.6419,152.854557,Mid North Coast,"Hunter, Central & Northern NSW"
1659,Bowser,VIC,3678,-36.314617,146.364425,North Eastern,Northern VIC
1660,Box Head,NSW,2257,-33.536016,151.344489,Central Coast & Region,"Hunter, Central & Northern NSW"
1661,Box Hill Central,VIC,3128,-37.819108,145.121273,East,Melbourne
1662,Box Hill North,VIC,3129,-37.801761,145.126869,East,Melbourne
1663,Box Hill South,VIC,3128,-37.828744,145.121843,East,Melbourne
1664,Box Hill,NSW,2765,-33.639115,150.904697,Western Sydney,Sydney
1665,Box Hill,VIC,3128,-37.817455,145.119314,East,Melbourne
1666,Box Ridge,NSW,2357,-31.451631,149.484056,Central West,Regional NSW
1667,Boxers Creek,NSW,2580,-34.73262,149.807341,Capital Monaro & Snowy,Regional NSW
1668,Boxwood Hill,WA,6338,-34.363392,118.74435,South,Southern WA
1669,Boxwood,VIC,3725,-36.323886,145.79839,Shepparton & Central North,Northern VIC
1670,Boya,WA,6056,-31.915344,116.054417,Perth Hills,Perth
1671,Boyanup,WA,6237,-33.482745,115.727734,South,Southern WA
1672,Boyatup,WA,6450,-33.748993,122.954917,South,Southern WA
1673,Boydtown,NSW,2551,-37.10475,149.879014,Far South Coast,South Coast NSW
1674,Boyer,TAS,7140,-42.775857,147.100035,Hobart & Southern,Tasmania
1675,Boyerine,WA,6316,-33.497786,117.410324,South,Southern WA
1676,Boyland,QLD,4275,-27.942993,153.132839,Gold Coast,South East QLD
1677,Boyne Island,QLD,4680,-23.947793,151.355077,Gladstone Rockhampton & Capricornia,Coastal QLD
1678,Boyne Valley,QLD,4680,-24.38734,151.193564,Gladstone Rockhampton & Capricornia,Coastal QLD
1679,Boynedale,QLD,4680,-24.215069,151.248235,Gladstone Rockhampton & Capricornia,Coastal QLD
1680,Boyneside,QLD,4610,-26.715448,151.508128,South,Central & West QLD
1681,Boynewood,QLD,4626,-25.63297,151.279322,South,Central & West QLD
1682,Boyup Brook,WA,6244,-33.832927,116.388416,South,Southern WA
1683,Bracalba,QLD,4512,-27.011117,152.841028,Redcliffe / Bribie / Caboolture,Brisbane
1684,Bracewell,QLD,4695,-23.889831,150.892069,Gladstone Rockhampton & Capricornia,Coastal QLD
1685,Bracken Ridge,QLD,4017,-27.327545,153.025938,City & North,Brisbane
1686,Bracknell,TAS,7302,-41.652009,146.937733,Launceston & Northern,Tasmania
1687,Bradbury,NSW,2560,-34.086006,150.814016,MacArthur/Camden,Sydney
1688,Bradbury,SA,5153,-35.06286,138.72485,Adelaide Hills,Adelaide
1689,Braddon,ACT,2612,-35.270615,149.133208,Inner North,Canberra
1690,Bradford,VIC,3463,-36.918528,144.067643,Greater Bendigo Region,Northern VIC
1691,Bradshaw,NT,852,-23.723994,133.86613,Darwin Area,Northern Territory
1692,Bradvale,VIC,3361,-37.779772,143.407202,Ballarat & Western District,South West VIC
1693,Brady Creek,SA,5381,-33.968264,139.00005,Mid North,Mid North SA
1694,Bradys Lake,TAS,7140,-42.238651,146.522152,Hobart & Southern,Tasmania
1695,Braefield,NSW,2339,-31.559051,150.6963,New England - North West,Regional NSW
1696,Braemar Bay,NSW,2628,-36.103116,148.652752,Capital Monaro & Snowy,Regional NSW
1697,Braemar,NSW,2575,-34.430571,150.482931,Southern Highlands,South Coast NSW
1698,Braemeadows,QLD,4850,-18.62639,146.266,Mount Isa & North West,Central & West QLD
1699,Braemore,QLD,4313,-27.048687,152.389051,Ipswich & West Moreton,South East QLD
1700,Braeside,VIC,3195,-38.008295,145.112478,Bayside,Melbourne
1701,Brahma Lodge,SA,5109,-34.773664,138.65842,North & North East Suburbs,Adelaide
1702,Braidwood,NSW,2622,-35.437701,149.800868,Southern Tablelands,Regional NSW
1703,Braitling,NT,870,-23.675723,133.866768,Alice Springs,Northern Territory
1704,Bramfield,SA,5670,-33.621171,134.994039,Eyre Peninsula,West Coast SA
1705,Bramley,WA,6285,-33.91443,115.113149,Margaret River & Surrounds,Southern WA
1706,Bramston Beach,QLD,4871,-17.353046,146.017537,Far North Queensland,Coastal QLD
1707,Branch Creek,QLD,4625,-25.407428,151.407217,South,Central & West QLD
1708,Branchview,QLD,4352,-27.611057,151.33576,Toowoomba & District,South East QLD
1709,Branditt,VIC,3630,-36.360161,145.402039,Shepparton & Central North,Northern VIC
1710,Brandon Park,VIC,3150,-37.914425,145.168836,East,Melbourne
1711,Brandon,QLD,4808,-19.554272,147.353705,Mount Isa & North West,Central & West QLD
1712,Brandum,TAS,7304,-41.821399,146.67507,Launceston & Northern,Tasmania
1713,Brandy Creek,QLD,4800,-20.335471,148.673108,Mackay & Whitsundays,Coastal QLD
1714,Brandy Creek,VIC,3821,-38.10384,145.910846,Gippsland,South East VIC
1715,Brandy Hill,NSW,2324,-32.693797,151.694171,Port Stephens,"Hunter, Central & Northern NSW"
1716,Branxholm,TAS,7261,-41.168485,147.738812,North East Tasmania,Tasmania
1717,Branxholme,VIC,3302,-37.856656,141.794565,Great Ocean Rd / Otway Ranges,South West VIC
1718,Branxton,NSW,2335,-32.658246,151.352048,Hunter Valley - Upper,"Hunter, Central & Northern NSW"
1719,Branyan,QLD,4670,-24.896386,152.241281,Bundaberg & Wide Bay,Coastal QLD
1720,Brassall,QLD,4305,-27.59456,152.745895,Ipswich & West Moreton,South East QLD
1721,Braunstone,NSW,2460,-29.802551,152.959309,Northern Rivers,"Hunter, Central & Northern NSW"
1722,Bravington,VIC,3821,-38.085346,145.922066,Gippsland,South East VIC
1723,Brawboy,NSW,2337,-31.93927,150.635778,Hunter Valley - Upper,"Hunter, Central & Northern NSW"
1724,Bray Park,NSW,2484,-28.343531,153.375835,Northern Rivers,"Hunter, Central & Northern NSW"
1725,Bray Park,QLD,4500,-27.292807,152.962376,City & North,Brisbane
1726,Bray,SA,5276,-37.269544,139.954379,South East,Southern SA
1727,Braybrook North,VIC,3019,-37.786608,144.852553,West,Melbourne
1728,Braybrook,VIC,3019,-37.786608,144.852553,West,Melbourne
1729,Brays Creek,NSW,2484,-28.397509,153.195487,Northern Rivers,"Hunter, Central & Northern NSW"
1730,Brayton,NSW,2579,-34.647901,149.964356,Southern Highlands,South Coast NSW
1731,Brazier,WA,6251,-33.76806,115.82778,South,Southern WA
1732,Breadalbane,NSW,2581,-34.800796,149.468173,Capital Monaro & Snowy,Regional NSW
1733,Breadalbane,QLD,4800,-20.440031,148.59124,Mackay & Whitsundays,Coastal QLD
1734,Breadalbane,TAS,7258,-41.527814,147.187315,Launceston & Northern,Tasmania
1735,Breakaway Creek,VIC,3303,-38.03119,141.814596,Great Ocean Rd / Otway Ranges,South West VIC
1736,Breakaway,QLD,4825,-20.72354,139.52417,Mount Isa & North West,Central & West QLD
1737,Breakfast Creek,NSW,2849,-32.681855,149.974385,Central West,Regional NSW
1738,Breakfast Point,NSW,2137,-33.842777,151.111032,Inner West,Sydney
1739,Breakwater,VIC,3219,-38.18002,144.373309,Geelong & District,Melbourne
1740,Bream Beach,NSW,2540,-35.111056,150.661796,Shoalhaven,South Coast NSW
1741,Bream Creek,TAS,7175,-42.785245,147.8682776,Hobart & Southern,Tasmania
1742,Breamlea,VIC,3227,-38.293801,144.395262,Geelong & District,Melbourne
1743,Bredbo,NSW,2626,-35.959129,149.150191,Capital Monaro & Snowy,Regional NSW
1744,Breddan,QLD,4820,-19.95119,146.230718,Mount Isa & North West,Central & West QLD
1745,Breelong,NSW,2827,-31.811735,148.799571,Dubbo & Orana,Regional NSW
1746,Breera,WA,6503,-31.443805,115.959529,North,Northern WA
1747,Breeza,NSW,2381,-31.244175,150.457901,New England - North West,Regional NSW
1748,Bremer Bay,WA,6338,-34.392394,119.380815,South,Southern WA
1749,Bremer,QLD,4305,-27.611932,152.761506,Toowoomba & District,South East QLD
1750,Brenanah,VIC,3517,-36.552931,143.703182,Greater Bendigo Region,Northern VIC
1751,Brenda Park,SA,5320,-34.073432,139.68544,Riverland,Mid North SA
1752,Brenda,NSW,2831,-29.099918,147.212959,Dubbo & Orana,Regional NSW
1753,Brendale,QLD,4500,-27.31833,152.988227,City & North,Brisbane
1754,Brentford Square,VIC,3131,-37.837379,145.183948,East,Melbourne
1755,Brentwood,SA,5575,-34.864425,137.498206,Yorke Peninsula,West Coast SA
1756,Brentwood,WA,6153,-32.04334,115.852824,Southern Suburbs,Perth
1757,Breona,TAS,7304,-41.786664,146.701786,Launceston & Northern,Tasmania
1758,Breton Bay,WA,6043,-31.199838,115.420418,North,Northern WA
1759,Bretti,NSW,2422,-31.786844,151.923449,Mid North Coast,"Hunter, Central & Northern NSW"
1760,Brewarrina,NSW,2839,-29.961519,146.858999,Dubbo & Orana,Regional NSW
1761,Brewongle,NSW,2795,-33.48878,149.67541,Central West,Regional NSW
1762,Brewster,VIC,3352,-37.48494,143.527883,Ballarat & Western District,South West VIC
1763,Briagolong,VIC,3860,-37.843462,147.06798,Gippsland,South East VIC
1764,Briar Hill,VIC,3088,-37.706074,145.121651,North,Melbourne
1765,Briarbrook,NSW,2365,-30.188076,151.415638,New England - North West,Regional NSW
1766,Bribbaree,NSW,2594,-34.121252,147.873721,Capital Monaro & Snowy,Regional NSW
1767,Bribie Island North,QLD,4507,-26.9861003,153.1325243,Redcliffe / Bribie / Caboolture,Brisbane
1768,Bribie Island,QLD,4507,-26.9830624,153.1479963,Redcliffe / Bribie / Caboolture,Brisbane
1769,Bridge Creek,VIC,3723,-36.903976,146.104005,North Eastern,Northern VIC
1770,Bridgeman Downs,QLD,4035,-27.354965,152.994198,City & North,Brisbane
1771,Bridgenorth,TAS,7277,-41.378544,146.974938,Launceston & Northern,Tasmania
1772,Bridges,QLD,4561,-26.525907,152.928936,Sunshine Coast,South East QLD
1773,Bridgetown,WA,6255,-33.95676,116.137103,South,Southern WA
1774,Bridgewater North,VIC,3516,-36.524666,143.996272,Greater Bendigo Region,Northern VIC
1775,Bridgewater On Loddon,VIC,3516,-36.601351,143.941051,Greater Bendigo Region,Northern VIC
1776,Bridgewater,SA,5155,-35.009789,138.760157,Adelaide Hills,Adelaide
1777,Bridgewater,TAS,7030,-42.734779,147.244276,Hobart & Southern,Tasmania
1778,Bridgewater,VIC,3516,-36.593021,143.924643,Greater Bendigo Region,Northern VIC
1779,Bridgman,NSW,2330,-32.453175,151.187995,Hunter Valley - Upper,"Hunter, Central & Northern NSW"
1780,Bridport,TAS,7262,-41.002975,147.394214,North East Tasmania,Tasmania
1781,Brierfield,NSW,2454,-30.503895,152.893178,Mid North Coast,"Hunter, Central & Northern NSW"
1782,Brigadoon,WA,6069,-31.78934,116.053015,Eastern Suburbs,Perth
1783,Brigalow,QLD,4412,-26.843852,150.790571,South,Central & West QLD
1784,Bright,SA,5381,-33.951256,139.107525,Mid North,Mid North SA
1785,Bright,VIC,3741,-36.727237,146.960491,North Eastern,Northern VIC
1786,Brightly,QLD,4741,-21.258696,148.913732,Mackay & Whitsundays,Coastal QLD
1787,Brighton East,VIC,3187,-37.901363,145.019229,Bayside,Melbourne
1788,Brighton Eventide,QLD,4017,-27.289479,153.063614,City & North,Brisbane
1789,Brighton Nathan Street,QLD,4017,-27.302652,153.053988,City & North,Brisbane
1790,Brighton North,VIC,3186,-37.903864,145.001899,Bayside,Melbourne
1791,Brighton Road,VIC,3184,-37.882157,144.995965,East,Melbourne
1792,Brighton Le Sands,NSW,2216,-33.960538,151.155362,St George,Sydney
1793,Brighton,QLD,4017,-27.299898,153.056811,City & North,Brisbane
1794,Brighton,SA,5048,-35.020996,138.523266,Western & Beachside Suburbs,Adelaide
1795,Brighton,TAS,7030,-42.695968,147.254829,Hobart & Southern,Tasmania
1796,Brighton,VIC,3186,-37.913149,144.991682,Bayside,Melbourne
1797,Brightview,QLD,4311,-27.49908,152.496839,Ipswich & West Moreton,South East QLD
1798,Brightwaters,NSW,2264,-33.114455,151.545925,Lake Macquarie West,"Hunter, Central & Northern NSW"
1799,Brigooda,QLD,4613,-26.245479,151.433025,South,Central & West QLD
1800,Bril Bril,NSW,2441,-31.259919,152.49923,Mid North Coast,"Hunter, Central & Northern NSW"
1801,Brim,VIC,3391,-36.077311,142.421105,North Western,Northern VIC
1802,Brimbago,SA,5267,-36.166689,140.46619,South East,Southern SA
1803,Brimbin,NSW,2430,-31.850684,152.4768,Mid North Coast,"Hunter, Central & Northern NSW"
1804,Brimboal,VIC,3312,-37.399511,141.412816,Grampians,South West VIC
1805,Brimin,VIC,3685,-36.050476,146.227708,North Eastern,Northern VIC
1806,Brimpaen,VIC,3401,-37.050262,142.211604,Grampians,South West VIC
1807,Brindabella,NSW,2611,-35.349503,148.724491,Capital Monaro & Snowy,Regional NSW
1808,Brinerville,NSW,2441,-30.467681,152.569187,Mid North Coast,"Hunter, Central & Northern NSW"
1809,Bringalbert,VIC,3319,-36.843902,141.155059,North Western,Northern VIC
1810,Bringalily,QLD,4357,-28.056801,151.160021,South,Central & West QLD
1811,Bringelly,NSW,2556,-33.9397044,150.7214403,Western Sydney,Sydney
1812,Bringenbrong,NSW,3707,-36.171868,148.043813,Murray Region,Regional NSW
1813,Bringo,WA,6532,-28.744049,114.838912,North,Northern WA
1814,Brinkin,NT,810,-12.367769,130.869808,Darwin Area,Northern Territory
1815,Brinkley,SA,5253,-35.193685,139.236574,Murraylands,Southern SA
1816,Brinkworth,SA,5464,-33.695254,138.403411,Mid North,Mid North SA
1817,Brinsmead,QLD,4870,-16.904835,145.709572,Cairns & District,Coastal QLD
1818,Brisbane Grove,NSW,2580,-34.786689,149.702842,Capital Monaro & Snowy,Regional NSW
1819,Brisbane Market,QLD,4106,-27.534195,152.99934,West,Brisbane
1820,Brisbane,QLD,4000,-27.46758,153.027892,City & North,Brisbane
1821,Brisk Bay,QLD,4805,-20.107751,148.293464,Mount Isa & North West,Central & West QLD
1822,Brit Brit,VIC,3315,-37.407836,141.740673,Grampians,South West VIC
1823,Brittons Swamp,TAS,7330,-40.939091,144.968702,Burnie Devonport & NW Tas,Tasmania
1824,Broadbeach Waters,QLD,4218,-28.030678,153.410019,Gold Coast,South East QLD
1825,Broadbeach,QLD,4218,-28.029363,153.4312,Gold Coast,South East QLD
1826,Broadford,VIC,3658,-37.203001,145.050171,Greater Bendigo Region,Northern VIC
